case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
1940.02.22,22-feb-40,1940,unprovoked,south africa,kwazulu-natal,"inyoni rocks, south coast",swimming,m,17.0,"fatal, left thigh & knee bitten",y,"white shark, 160-kg [353-lb], identity confirmed by tooth pattern","h. robson, m. levine, gsaf",1940.02.22 - lund.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.22 - lund.pdf,1452
1940.02.20,20-feb-40,1940,boating,australia,new south wales,sydney harbour,canoeing,,,"no injury. shark grazed canoe, snapped at a piece of mast being trailed in the water & followed it into 2' of water",n,nan,"g.p. whitley, p.265",1940.02.20-canoe-sydney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.20-canoe-sydney.pdf,1451
1940.02.04,04-feb-40,1940,unprovoked,australia,new south wales,"north brighton, botany bay",wading,m,55.0,"fatal, injuries to both arms",y,nan,"v.m. coppleson (1958), p.69; a. sharpe, p.66",1940.02.04-eke.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.02.04-eke.pdf,1450
1940.01.29,29-jan-40,1940,unprovoked,australia,queensland,brisbane river,dived into the water,m,17.0,shoulder nipped,n,"""a small shark""","morning bulletin, 1/30/1929",1940.01.29-brisbaneriver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.29-brisbaneriver.pdf,1449
1940.01.23,23-jan-40,1940,unprovoked,australia,new south wales,"north brighton, botany bay",swimming,m,13.0,"fatal, left leg severed",y,3 m [10'] shark,"v.m. coppleson (1958), p.69; a. sharpe, pp.65-66",1940.01.23-farrin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.23-farrin.pdf,1448
1940.01.15,15-jan-40,1940,unprovoked,australia,queensland,"surfers paradise, near southport",swimming,m,22.0,chest lacerated,n,nan,"v.m. coppleson (1958), pp. 93 & 238",1940.01.15-bright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.15-bright.pdf,1447
1940.01.07,07-jan-40,1940,unprovoked,south africa,kwazulu-natal,"warner beach, south coast",swimming,m,18.0,"fatal, leg & thigh bitten",y,2.4 m [8'] shark,"r. guy, t. jucker & m. levine, gsaf",1940.01.07-hooper.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.07-hooper.pdf,1446
1940.01.01,01-jan-40,1940,unprovoked,australia,queensland,"malagil, barrier reef",diving for trochus,m,,thigh  lacerated,n,nan,"j. green, p.33; v.m. coppleson (1958), p.245",1940.01.01-native-diver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.01.01-native-diver.pdf,1445
1940.00.00.f,not defined,1940,boating,slovenia,adriatic sea,koper,boating,,,"no inury to occupants, shark struck boat",n,white shark,a. de maddalena; m. zuffa (pers. comm.),1940.00.00.f-boat-slovenia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.f-boat-slovenia.pdf,1444
1940.00.00.e,not defined,1940,unprovoked,new guinea,bwagaoia,"bagalina, north coast misima island",nan,f,,fatal,y,nan,"a. bleakley;  a. m. rapson, p.148",1940.00.00.e-small-girl.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.e-small-girl.pdf,1443
1940.00.00.d,not defined,1940,unprovoked,papua new guinea,western papuan gulf,kerema,male,,,hand bitten,n,nan,"papuan villager, 11/1940",1940.00.00.d-kerema.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.d-kerema.pdf,1442
1940.00.00.c,not defined,1940,invalid,south africa,eastern cape province,kidd's beach,swimming,,,no details,,nan,"d. davies, p. 102",1940.00.00.c-kiddsbeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.c-kiddsbeach.pdf,1441
1940.00.00.b,not defined,1940,invalid,south africa,kwazulu-natal,winkelspruit,nan,f,,fatal,y,nan,"v.m. coppleson (1958), p.247; saf case #161. unable to authenticate this incident in local records or press reports.",1940.00.00.b-indianfemale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.b-indianfemale.pdf,1440
1940.00.00.a,not defined,1940,invalid,south africa,eastern cape province,"kowie river mouth, port alfred",standing in water with child in her arms,f,,leg bitten,n,nan,"e. skaife, v. m. coppleson (1958), p.247;  m. levine, gsaf",1940.00.00.a-woman-kowie.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1940.00.00.a-woman-kowie.pdf,1439
1939.12.28,28-dec-39,1939,invalid,australia,new south wales,"cabramatta creek, george�s river",swimming,m,40.0,abrasion above knee,n,6' shark,"v.m. coppleson (1958), pp.44 & 234; saf case #39",1939.12.28-carroll.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.12.28-carroll.pdf,1438
1939.12.14,14-dec-39,1939,unprovoked,australia,queensland,"rubbish dump creek, mackay",swimming,m,20.0,"fatal, left foot & right leg bitten, later surgically amputated",y,2.6 m [8.5'] shark landed 2 hours later,"sydney morning herald, 12/15/1939; v.m. coppleson (1958), p.238",1939.12.14-gurran.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.12.14-gurran.pdf,1437
1939.11.23,23-nov-39,1939,boating,australia,new south wales,wollongong,nan,,,no injury,n,"blue pointer, 16'","northern miner, 11/25/1939",1939.11.23-wollongong-3.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.23-wollongong-3.pdf,1436
1939.11.11,11-nov-39,1939,provoked,australia,new south wales,maroubra,nan,,,boat bitten by gaffed shark provoked incident,n,whaler shark,"g.p. whitley, p.264",1939.11.11-boat-maroubra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.11-boat-maroubra.pdf,1435
1939.11.09,09-nov-39,1939,boating,australia,new south wales,wollongong,nan,,,no details,,nan,"g.p. whitley, p.264",1939.11.09-boat-2-wollongong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.09-boat-2-wollongong.pdf,1434
1939.11.06,06-nov-39,1939,boating,australia,new south wales,wollongong,nan,,,no details,,nan,"g.p. whitley, p.264",1939.11.06-boat-1-wollongong.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.06-boat-1-wollongong.pdf,1433
1939.11.02.r,not defined,1939,unprovoked,samoa,nan,nan,fishing,m,,fatal,y,nan,"canberra times, 11/2/1939",1939.11.02.r-samoa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.11.02.r-samoa.pdf,1432
1939.10.25.r,not defined,1939,unprovoked,australia,queensland,near restoration rock off portland roads,"free diving for trochus shell, swimming to dinghy",m,27.0,"both thighs were lacerated, recovered at thursday island hospital",n,"tiger shark, 4.3 m [14'], 3 tooth fragments retrieved from his wounds","g.p. whitley, p. 20; v.m. coppleson  (1958), p. 99",1939.10.25.r-cobbe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.10.25.r-cobbe.pdf,1431
1939.10.04,04-oct-39,1939,unprovoked,usa,hawaii,"kane'ohe bay, mokapu, o'ahu",spearfishing & had just speared a ulua,m,,hand bitten,n,1.5 m [5'] shark,"g.h. balazs & a.k.h. kam; j. borg, p.71; v.m. coppleson (1962), p.253",1939.10.04-akina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.10.04-akina.pdf,1430
1939.09.27.r,not defined,1939,unprovoked,australia,torres strait,near mabuiag island,pearl diving,m,,"leg severely bitten, surgically amputated",n,tiger shark,"cairns post, 9/27/1939",1939.09.27-mira.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.09.27-mira.pdf,1429
1939.08.01,01-aug-39,1939,provoked,usa,california,"off san pedro, los angeles county",fishing,m,33.0,harpooned shark bit his arm provoked incident,n,nan,"l.a. times, 8/11/1939",1939.08.01-ray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.08.01-ray.pdf,1428
1939.07.18,18-jul-39,1939,sea disaster,pacific ocean,nan,nan,japanese freighter bokuyo maru burned & sank,,3.0,thought to have been taken by a shark,y,nan,"syracuse herald, 7/30/1939",1939.07.18-child-b-maru.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.18-child-b-maru.pdf,1427
1939.07.16,16-jul-39,1939,provoked,bahamas,andros islands,blue hole,"dress diving, filming shark & pulling it through the water for a motion picture scene",m,38.0,minor injury to shoulder & back provoked incident,n,"nurse shark, 2.1 m [7']","evening sun (baltimore), 7/31/1939; e.r.f. johnson",1939.07.16-macewan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.16-macewan.pdf,1426
1939.07.14,14-jul-39,1939,provoked,usa,texas,"west bay, 19 miles from galveston",seine netting,m,,leg bitten by snared shark provoked incident,n,18' shark,"galveston daily news, 7/20/1939, p.4",1939.07.14-bolling.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.07.14-bolling.pdf,1425
1939.05.03,03-may-39,1939,unprovoked,usa,virginia,"at sea, several hundred miles south east of cape henry, virginia",washed off freighter huncliff by a freak wave,m,,"fatal, attacked by shark, body not recovered",y,nan,"l.a. times, 5/7/1939; ny times, 5/8/1939, p.18, col.1; v.m. coppleson , p.253",1939.05.03-heagan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.05.03-heagan.pdf,1424
1939.04.12.r,12-apr-39,1939,unprovoked,papua new guinea,morobe province,bulolol,dived for a coin,m,9.0,fatal,y,nan,"cairns post, 4/12/1939",1939.04.12.r-child.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.04.12.r-child.pdf,1423
1939.03.24,24-mar-39,1939,unprovoked,papua new guinea,central province,port moresby,dived for a coin,m,,"fatal, leg severed just below hip",y,"""a large shark""","the papuan villager, march 1939; g.p. whitley, p.21",1939.03.24-raho-heni.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.03.24-raho-heni.pdf,1422
1939.02.26,26-feb-39,1939,provoked,new zealand,north island,matakana river mouth,fishing,m,,lacerations to left hand from hooked shark provoked incident,n,7' shark,"auckland star, 2/28/1939",1939.02.26-ramsbottom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.02.26-ramsbottom.pdf,1421
1939.01.12,12-jan-39,1939,unprovoked,australia,new south wales,clarence river,scooping prawns,m,11.0,no injury,n,7' shark,"g.p. whitley, p.264",1939.01.12.r-clarenceriver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.01.12.r-clarenceriver.pdf,1420
1939.00.00.e,not defined,1939,sea disaster,sri lanka,nan,nan,she was on a ship that was torpedoes & was in the water awaiting rescue,f,,leg severely bitten,n,nan,"v.m. coppleson (1962), p.258",1939.00.00.e-wren.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.e-wren.pdf,1419
1939.00.00.d,not defined,1939,boating,bahamas,andros islands,middle bight,fishing,,,"no injury to occupant, shark rammed bow of boat",n,tiger shark,e.r.f. johnson,1939.00.00.d-skiff.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.d-skiff.pdf,1418
1939.00.00.c,not defined,1939,unprovoked,venezuela,carabobo,"el falito, near puerto cabello",bathing,m,,fatal.,y,nan,h.e. iverson,1939.00.00.c-haberdasher.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.c-haberdasher.pdf,1417
1939.00.00.b,not defined,1939,unprovoked,curacao,ascension bay,nan,diving,m,,"no injury, left hip bumped by shark",n,tiger shark,"h. hass in diving to adventure, p.169",1939.00.00.b-hass.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.b-hass.pdf,1416
1939.00.00.a,not defined,1939,unprovoked,papua new guinea,"abau sub district, central province",aroma passage,swimming to anchored boat,m,,"fatal, lower abdomen bitten",y,nan,"a. bleakley;  a. m. rapson, p.148",1939.00.00.a-garvakala.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1939.00.00.a-garvakala.pdf,1415
1938.12.27,27-dec-38,1938,unprovoked,australia,new south wales,"north beach, belligen river",swimming,m,19.0,"fatal, thought to have been taken by a shark",y,nan,"g.p. whitley, p.264",1938.12.27-graham.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.12.27-graham.pdf,1414
1938.10.05,05-oct-38,1938,provoked,australia,queensland,between wynnum & st. helena island,fishing,m,18.0,laceration to left foot & ankle by netted shark provoked incident,n,"tiger shark, 6'","cairns post, 10/6/1938",1938.10.05-lopez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.10.05-lopez.pdf,1413
1938.08.29,29-aug-38,1938,unprovoked,china,north china,"outer harbor, hong kong",swimming alongside warship   tsingt-ao,m,,"fatal, leg severed",y,nan,"new york times (william baker), 8/30/1938; [saf case #934]; v.m. coppleson  (1958), p.257; a. maccormick, p.134",1938.08.29-baker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.08.29-baker.pdf,1412
1938.08.18,18-aug-38,1938,provoked,usa,california,"near encino, los angeles county",fishing,m,,lacerations to hand by hooked shark provoked incident,n,nan,"washington post. 8/19/1938, p.24",1938.08.18-warrenwilliams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.08.18-warrenwilliams.pdf,1411
1938.07.18,18-jul-38,1938,unprovoked,usa,south carolina,charleston,swimming,m,,foot & ankle lacerated,n,nan,"kingsport times, 7/18/1938",1938.07.18-maynardtanner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.18-maynardtanner.pdf,1410
1938.07.17.r,not defined,1938,provoked,turkey,nan,nan,fishing,m,,injured by harpooned shark provoked incident,n,nan,"c. moore, gsaf",1938.07.17.r-turkey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.17.r-turkey.pdf,1409
1938.07.17,17-jul-38,1938,provoked,usa,california,"dana point, orange county","fishing, removing gaff from shark's mouth",m,27.0,leg bitten by gaffed shark provoked incident,n,nan,"l.a. times, 7/18/1938",1938.07.17-griffet.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.17-griffet.pdf,1408
1938.07.12,12-jul-38,1938,unprovoked,australia,torres strait,off bathurst island,"hardhat diving from japanese pearling lugger, reiyo maru",m,25.0,"fatal, dragged out of diving helmet",y,nan,"g.p. whitley, p.264; v.m. coppleson  (1958), p.244; sydney morning herald, 7/12/1938",1938.07.12-okada.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.07.12-okada.pdf,1407
1938.06.17,17-jun-38,1938,unprovoked,nicaragua,lower san juan river,nan,"the schooner elizabeth, bound from bluefields, nicaragua to the river port of san carlos foundered",,,"fatal x 2, all other passengers & crew reached shore after a long swim",y,thought to involve bull sharks,"ny times; l. schultz & m. malin, p.558",1938.06.17-hodgson_ollis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.06.17-hodgson_ollis.pdf,1406
1938.06.08,08-jun-38,1938,unprovoked,australia,new south wales,manly,hardhat diving,m,,"no injury, the shark knocked him off his feet",n,6' shark,"the canberra times, 6/10/1938",1938.06.08-edwards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.06.08-edwards.pdf,1405
1938.05.26,26-may-38,1938,unprovoked,costa rica,nicoya peninsula,nan,fishing,m,,"fatal, pulled overboard by tuna, & bitten by shark",y,nan,"v.m. coppleson  (1958), p.259",1938.05.26.r-villareal.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.26.r-villareal.pdf,1404
1938.05.15,15-may-38,1938,unprovoked,iraq,basrah city,"ashar canal, where people wash clothes & kitchen pans","swimming, naked",m,,"arm severed, but survived. note: some weeks later he was swimming at the same spot when a shark severed his right foot.",n,bull shark,b.w. coad & l.a.j. al-hassan,1938.05.15-basrah.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.15-basrah.pdf,1403
1938.05.02.r,not defined,1938,unprovoked,india,west bengal,hooghley river near budge-budge,bathing,,,"2 survived,       1 fatal",y,nan,"the times (london), 5/2/1938, p.15",1938.05.02.r-india.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.05.02.r-india.pdf,1402
1938.03.21.r,not defined,1938,unprovoked,fiji,viti levu,singatoka river,wading,m,,unknown,n,nan,"time magazine, 3/21/1938",1938.03.21.r-fijianmethodist.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.03.21.r-fijianmethodist.pdf,1401
1938.03.08,08-mar-38,1938,unprovoked,australia,northern territory,liverpool river,canoe capsized by shark,m,,"leg severed, but survived",n,nan,"v.m. coppleson  (1958) (in text); sydney morning herald, 3/16/1938",1938.03.08-liverpool-river.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.03.08-liverpool-river.pdf,1400
1938.01.21,21-jan-38,1938,provoked,australia,new south wales,tweed heads,fishing,m,,thumb bitten by landed shark provoked incident,n,"tiger shark, 3'","courier-mail, 1/22/1938; sydney morning herald 1/26/1938; whitley, p.264",1938.01.21-corowa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.21-corowa.pdf,1399
1938.01.18,18-jan-38,1938,provoked,south africa,kwazulu-natal,"vetch�s pier, durban","watching seine netters with friends, one of whom picked up a netted shark",m,13.0,leg bitten provoked incident,n,nan,"m. levine, gsaf",1938.01.18-parkin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.18-parkin.pdf,1398
1938.01.14,14-jan-38,1938,unprovoked,australia,new south wales,"lady martin�s beach, sydney harbor",diving off jetty,m,24.0,superficial lacerations on feet & toes,n,questionable incident,"the canberra times, 1/15/1938",1938.01.14-murray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.14-murray.pdf,1397
1938.01.02,02-jan-38,1938,unprovoked,australia,new south wales,cronulla,surf skiing,m,,"no injury, ski bumped & he was thrown in the water. ski had indentations",n,nan,"sydney morning herald, 1/3/1938;  j. green, p.33; v.m. coppleson (1958), p.42 note: coppleson gives date as january 1937",1938.01.02-baker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.01.02-baker.pdf,1396
1938.00.00.e.r,not defined,1938,unprovoked,egypt,nan,mersa matruh,sponge diving,m,,fatal,y,nan,"c. moore, gsaf",1938.00.00.e.r-egypt.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.e.r-egypt.pdf,1395
1938.00.00.d,not defined,1938,unprovoked,trinidad & tobago,trinidad,"manzanilla bay, st. andrew county",body surfing,m,50.0,left hand and arm bitten,n,"""grey-colored shark""","e. pace, fsaf",1938.00.00.d-huggins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.d-huggins.pdf,1394
1938.00.00.c,not defined,1938,provoked,usa,north carolina,on one of the sounds near wilmington,fishing,m,,"no injury, boat towed by harpooned shark, provoked incident",n,nan,"c. creswell, gsaf; j. hair, p.27",1938.00.00.c-willards.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.c-willards.pdf,1393
1938.00.00.b,not defined,1938,unprovoked,australia,torres strait,nan,diving,m,17.0,leg severed above knee,n,nan,"v.m. coppleson (1958), p.245",1938.00.00.b-sammy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.b-sammy.pdf,1392
1938.00.00.a,not defined,1938,unprovoked,south africa,kwazulu-natal,"bilanhlolo river mouth, ramsgate",swimming,m,,"""mauled""",n,nan,h. greenwood,1938.00.00.a-blackmale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1938.00.00.a-blackmale.pdf,1391
1937.11.13,13-nov-37,1937,sea disaster,usa,north carolina,off cape hatteraa,"tzenny chandris, a greek freighter laden with scrap iron, foundered in heavy weather",m,,fatal,y,nan,"stevens point journal, 11/15/1937; time, 11/22/1937; life magazine, 11/29/1937",1937.11.13-tzenny-chandris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.13-tzenny-chandris.pdf,1390
1937.11.11,11-nov-37,1937,unprovoked,australia,torres strait,ota reef,diving for trochus,m,17.0,fatal,y,12' shark,"j. green, p.33; v.m. coppleson  (1958), p.244",1937.11.11-kris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.11-kris.pdf,1389
1937.11.06.r,not defined,1937,sea disaster,solomon islands,nan,nan,"two canoes with 14 aboard blown to sea in a storm. while adrift for 3 week, one person fell overboard and was killed by a shark",m,,fatal,y,nan,"the argus, 11/6/1937",1937.11.06.r-solomon-islands.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.11.06.r-solomon-islands.pdf,1388
1937.10.27.b,27-oct-37,1937,unprovoked,australia,queensland,"kirra beach, coolangatta",swimming,m,25.0,fatal,y,tiger shark,"j. green; v.m. coppleson, pp.51, 81-84 & 234; a. sharpe, pp.94-9 6; h. edwards, pp.114-115",1937.10.27.b-brinkley.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.27.b-brinkley.pdf,1387
1937.10.27.a,27-oct-37,1937,unprovoked,australia,queensland,"kirra beach, coolangatta",swimming,m,18.0,fatal,y,"tiger shark,  3.6 m [11'9""], 850-kg [1874-lb] female, contained girvan's remains","v.m. coppleson, pp.51, 81-84 & 234;  a. sharpe, pp.94-96; h. edwards, pp.114-115",1937.10.27.a-girvanpub.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.27.a-girvanpub.pdf,1386
1937.10.24.c,24-oct-37,1937,unprovoked,australia,new south wales,byron bay,swimming near jetty,m,16.0,tooth imprints on torso,n,2.4 m [8'] shark,"the age, 10/25/1937; v.m. coppleson (1958), p.234",1937.10.24.b-mcdonald.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.24.b-mcdonald.pdf,1385
1937.10.24.a,24-oct-37,1937,unprovoked,australia,new south wales,byron bay,surf skiing,m,,"no injury, repulsed shark",n,2.6 m [8.5'] shark,"the age, 10/25/1937; v.m. coppleson (1958), p.234",1937.10.24.a-denning.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.10.24.a-denning.pdf,1384
1937.09.26.r,not defined,1937,provoked,croatia,split-dalmatia county,bisk,fishing,m,,injured by shark they were trying to catch provoked incident,n,nan,"c. moore, gsaf",1937.09.16.r-omis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.16.r-omis.pdf,1383
1937.09.12,12-sep-37,1937,boating,scotland,argyllshire,arran,pleasure boating,,,"no injury to occupants, two 5-foot observation windows shattered",n,basking shark,daily mail (undated clipping); a buttigieg,1937.09.12-glensannox.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.12-glensannox.pdf,1382
1937.09.11,11-sep-37,1937,boating,scotland,arran,fallen rocks,fishing,,,"no injury to occupants, propeller shaft damaged",n,basking shark,"times (london), 9/13/1937; c. creswell, gsaf",1937.09.11-ladycharlotte.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.11-ladycharlotte.pdf,1381
1937.09.01,01-sep-37,1937,unprovoked,scotland,argyll,"carradale bay, kintyre peninsula",rowing,m,,3 people drowned when the boat was capsized by the shark,n,basking shark,"times (london), 9/2/1937; fairfax, pp. 66-67",1937.09.01-scotland.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.09.01-scotland.pdf,1380
1937.08.31,31-aug-37,1937,unprovoked,australia,torres strait,"mabuiag island, between new guinea & australia","diving from the lugger san, operated by the protector of the aborigines",m,38.0,"head, neck & shoulder bitten (in 1918, he was also bitten by a shark off cairns)",n,"tiger shark, 9' to 10'","the maitland daily mercury, 8/31/1937",1937.08.31-ionaasai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.08.31-ionaasai.pdf,1379
1937.08.16,16-aug-37,1937,invalid,turkey,nan,istanbul,swimming,m,,"no injury, no attack",n,nan,c. moore,1937.08.16-istanbul.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.08.16-istanbul.pdf,1378
1937.08.02,02-aug-37,1937,unprovoked,panama,colon province,limon bay,swimming,m,21.0,fatal,y,nan,"the gleaner, 8/12/1937",1937.08.02-fernandez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.08.02-fernandez.pdf,1377
1937.07.16.r,not defined,1937,unprovoked,australia,northern territory,elcho island,pearl diving,m,,fatal,y,nan,"mansfield news-journal, 7/16/1937, p.11",1937.07.16.r-japanesediver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.07.16.r-japanesediver.pdf,1376
1937.07.06,07-jul-37,1937,invalid,italy,liguria,borgeo verezzi,nan,,,no injury,n,nan,c. moore,1937.07.06-italy.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.07.06-italy.pdf,1375
1937.06.28.r,not defined,1937,unprovoked,greece,nan,salonika?,nan,,,fatal,y,nan,c. moore,1937.06.28.r-salonika.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.06.28.r-salonika.pdf,1374
1937.06.15.b,15-jun-37,1937,provoked,australia,new south wales,"wallamba river, near entrance to wallis lake","fishing from launch, fell into net with shark",m,,bitten by netted shark provoked incident,n,"whaler shark, 4 m [13']","sydney morning herald, 6/19/1937; v.m. coppleson (1958) (in text); saf cases #549 & 550",1937.06.15.b-emmerton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.06.15.b-emmerton.pdf,1373
1937.06.15,not defined,1937,unprovoked,usa,texas,galveston,swimming,m,14.0,fatal,y,nan,"amarillo globe, 6/16/1937",1937.06.15.a-thompson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.06.15.a-thompson.pdf,1372
1937.05.30,30-may-37,1937,provoked,usa,texas,galveston,fishing,m,,leg nipped by hooked shark provoked incident,n,4' shark,"galveston daily news, 6/1/1937",1937.05.30-siskalo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.05.30-siskalo.pdf,1371
1937.05.15,15-may-37,1937,unprovoked,australia,queensland,"ross river, townsville","refused permission to cross on the ferry, he was swimming across the river",m,33.0,"fatal, left arm severed at elbow, right arm bitten, right leg severed at knee",y,2 days later a 600-lb shark was caught 100 yards from the site,"v.m. coppleson (1958), pp.90 & 238",1937.05.15-tennant.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.05.15-tennant.pdf,1370
1937.03.26,26-mar-37,1937,invalid,australia,new south wales,south cronulla,bathing,m,16.0,his body was recovered 2 days later but shark involvement prior to death was not confirmed,n,nan,"canberra times, 3/29/1937, p.1",1937.03.26-shaw.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.03.26-shaw.pdf,1369
1937.03.09,09-mar-37,1937,invalid,australia,victoria,port melbourne,swimming,m,43.0,shark involvement prior to death was not confirmed,y,nan,"canberra times, 3/10/1937;sydney morning herald, 3/10/1937; whitley, p.264",1937.03.09-king.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.03.09-king.pdf,1368
1937.02.13,13-feb-37,1937,unprovoked,australia,new south wales,"bar beach, newcastle",swimming,m,32.0,"fatal, buttocks, ankle & right elbow bitten",y,white shark,"v.m. coppleson (1958), pp.77 & 234; a. sharpe, p.84; j.west, asaf",1937.02.13-welsh.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.02.13-welsh.pdf,1367
1937.02.11,11-feb-37,1937,unprovoked,australia,new south wales,kempsey,swimming ashore after launch capsized,,,foot bitten,n,nan,"canberra times, 2/12/1937",1937.02.11-redman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.02.11-redman.pdf,1366
1937.02.04,04-feb-37,1937,boating,australia,new south wales,botany bay,fishing,,,"no injury to occupants, launch holed",n,nan,"canberra times, 2/5/1937",1937.02.04-botanybay-launch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1937.02.04-botanybay-launch.pdf,1365
