case_number,date,year,type,country,area,location,activity,sex,age,injury,fatal_(y/n),species,investigator_or_source,pdf,href_formula,original_order
1959.09.27,27-sep-59,1959,invalid,bermuda,hamilton,astwood's cove,nan,f,29.0,"murdered, body scavenged by sharks",y,nan,nan,1959.09.27-rawlinson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.27-rawlinson.pdf,2161
1959.09.26.b,26-sep-59,1959,sea disaster,usa,florida,"off port everglades, broward county","adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore",m,30.0,"during the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",n,"a hammerhead shark, then 8 to 10 other sharks were said to be  involved","st petersberg times, 9/27/1959;  ny herald tribune, 9/28/1959; p. gilbert, l. schultz & s. springer (1960)",1959.09.26.b-walker.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.26.b-walker.pdf,2160
1959.09.26.a,26-sep-59,1959,boat,usa,south carolina,"albergotti creek, near air station boat docks, beaufort",gigging for flounder,,,nan,,"said to involve white shark, but species identify questionable","gazette (beaufort, sc), 10.1/1959; saf case #577",1959.09.26.a-wines.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.26.a-wines.pdf,2159
1959.09.11,not defined,1959,boat,usa,california,"between false klamath & mouth of klamath river, del norte county",pulling hooked salmon to boat,,,"no injury to occupant, shark struck stern of boat",n,"white shark, 3.5 m [11.5'], identified by w. i.  follett on tooth fragments","r. collier, p.172",1959.09.11-tervo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.11-tervo.pdf,2158
1959.09.10.r,not defined,1959,unprovoked,india,orissa,machhagan,nan,,,"5 fatalities, 30 injured",y,6' shark,"times of india, 9/10/1959",1959.09.10.r-india.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.10.r-india.pdf,2157
1959.09.02,02-sep-59,1959,invalid,usa,new york,"oak beach, fire inlet",on inflatable raft,m,,no injury,n,"""sand shark"" listed as questionable incident",h.d. baldridge (1994) saf case #506,1959.09.02-nv-inflatableraft.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.02-nv-inflatableraft.pdf,2156
1959.09.00,not defined,1959,unprovoked,mexico,guerrrero,acapulco,nan,f,,"fatal, leg severed, other leg lacerated",y,nan,"a. r. satz;  p. gilbert, l. schultz & s. springer (1960)",1959.09.00-french-woman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.09.00-french-woman.pdf,2155
1959.08.31.r,not defined,1959,boat,azores,nan,sao miguel,fishing,,,no injury to occupants; shark bit rudder,n,"white shark, based on 2 teeth retrieved from rudder",a. cordeiro,1959.08.31.r-azores.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.31.r-azores.pdf,2154
1959.08.30,30-aug-59,1959,invalid,australia,tasmania,nan,swimming,m,,no injury,n,sandtiger shark,c. black; h.d. baldridge (1994) isaf case #654,1959.08.30-cox.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.30-cox.pdf,2153
1959.08.25,25-aug-59,1959,invalid,japan,hokkaido prefecture,"okushiri island, hiyama subprefecture",nan,m,14.0,survived (no injury?),n,porbeagle,"k. nakaya (1993); h.d. baldrige. note: recorded as ""doubtful"" by schultz and malin",1959.08.25-fukushi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.25-fukushi.pdf,2152
1959.08.20,20-aug-59,1959,invalid,philippines,north palawan,cabuli island,the 240-ton motor vessel pilar ii with 100 people on board capsized in high winds & rough seas,m,10.0,"navy personnel reported that his body was ""mutilated by sharks"" but it is probable that death resulted from drowning",y,nan,"manila daily, 8/26/1959; v.m. coppleson (1962), p.259; f. dennis, p.20; saf case #655",1959.08.20-pilarii.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.20-pilarii.pdf,2151
1959.08.15.b,15-aug-59,1959,invalid,usa,florida,"panama city, bay county",diving,m,21.0,no injury,n,2 sharks,"h. d. baldridge (1994), saf case #440 listed incident as ""questionable""",1959.08.15.b-seymour.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.15.b-seymour.pdf,2150
1959.08.15.a,15-aug-59,1959,unprovoked,usa,florida,"panama city, bay county",spearfishing on scuba,m,26.0,"fatal, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark",y,3.7 m [12'] shark,"washington post, 8/17/1959; p. gilbert, l. schultz & s. springer (1960); h.d. baldridge, p.183",1959.08.15.a-neal.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.15.a-neal.pdf,2149
1959.08.14.b,14-aug-59,1959,provoked,usa,south carolina,charleston,fishing,m,,laceration to forearm by boated shark provoked incident,n,5.5' shark,"washington post, 8/16/1959",1959.08.14.b-wright.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.14.b-wright.pdf,2148
1959.08.14.a,14-aug-59,1959,sea disaster,philippines,queaon,between unisan & angadanan islands,fishing boat capsized,,,"10 of the 15 people perished, bodies of some who drowned  were scavenged by sharks",y,nan,"manila chronicle, 8/18/1959; v.m. coppleson (1962), p.259; f. dennis, p.20; saf case #590",1959.08.14.a-fishingboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.14.a-fishingboat.pdf,2147
1959.08.13,13-aug-59,1959,provoked,usa,california,"lajolla, san diego county","spearfishing with joe turner (24). shark attracted to speared halibut on belt of one diver, tried to bite ide�s speargun & he shot it in the mouth",m,32.0,"no injury, provoked incident",n,"hammerhead shark, 9'","independent, 8/14/1959, p. 2; v.m. coppleson (1962), p.147",1959.08.13-ide-turner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.13-ide-turner.pdf,2146
1959.08.12,12-aug-59,1959,provoked,croatia,istria,pula,fishing,m,,laceration to arm provoked incident,n,20 kg shark,"c. moore, gsaf",1959.08.12-tomaz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.12-tomaz.pdf,2145
1959.08.11,11-aug-59,1959,unprovoked,japan,wakayama prefecture,"isonoura beach, wakayama city",swimming,m,,"fatal, left thigh bitten",y,"blue shark, 3 m [10']","h. kariya &t. abe; p. gilbert, l. schultz & s. springer (1960); k. nakaya",1959.08.11-tsuchiya.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1959.08.11-tsuchiya.pdf,2144
